X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,subject_id,activity
37.73003,-271.96997000000005,1723.8577899999998,55.8794,-145.41258,1686.5321,31.519,-334.32639,1600.9523900000002,196.05602,-262.30399,1478.25647,143.3506,-382.93719,1326.52332,480.6438,-296.59848,1426.4497099999999,712.36224,-288.93826,1410.59265,-122.77078,-261.9545,1467.2078900000001,-401.6347,-272.13281,1410.55127,-622.9429299999999,-224.57113999999999,1423.2409699999998,187.44177,-168.28694,974.4544699999999,-93.71593,-170.37904,959.33569,50.91042,-354.46792999999997,1031.5637199999999,186.83295,-150.05882,705.90338,221.77829,-263.46634,481.72357,195.65016,-233.38766,321.86746,256.08234,-301.80695,83.2362,209.21069,-354.37759,32.562129999999996,228.07214,-139.19589,45.39878,-54.833780000000004,-158.96625,672.92322,-107.45541000000001,-287.72412,485.60019000000005,-80.01155,-274.48795,322.71982,-117.49021,-352.63544,93.39539,-35.48127,-340.29907000000003,92.8533,-140.25179,-195.7494,45.070879999999995,,,,169.83621000000002,-292.53182999999996,85.6699,28.312079999999998,-264.814,483.66183,-62.75419,-396.13196,31.09546,2,9
37.51706,-271.99102999999997,1723.85144,55.83324,-145.46391,1686.51123,31.21058,-334.33691,1600.92395,195.78932,-262.49246,1478.28271,143.03845,-383.04721,1326.5252699999999,480.30182,-296.61929,1426.6027800000002,712.1127299999999,-289.68453999999997,1410.91357,-123.0351,-261.80298,1467.14148,-401.8884,-271.75522,1410.4082,-623.17706,-224.02327999999997,1422.98169,187.39043,-168.41602,974.3869,-93.81143,-170.18735,959.3258699999999,50.6682,-354.45114,1031.5531,186.88783,-149.93607,705.9834,221.7261,-263.49081,481.71967,195.60403,-233.40137000000001,321.87631,256.07727,-301.8515,83.27776999999999,209.20748999999998,-354.35953,32.549690000000005,228.09941,-139.19685,45.40178,-54.956419999999994,-158.5834,673.01721,-107.53263000000001,-287.55862,485.57532000000003,-80.06812,-274.39355,322.70456,-117.4832,-352.60818,93.4121,-35.30423,-340.59021,92.79361999999999,-140.2702,-195.77213,45.06968,,,,169.39035,-292.42053,85.81693,28.20986,-264.69812,483.67453,-62.749,-396.14522999999997,31.08792,2,9
37.297909999999995,-272.01575,1723.83398,55.791990000000006,-145.50148000000002,1686.48853,30.86358,-334.35071,1600.90723,195.52271000000002,-262.70746,1478.2861300000002,142.69629,-383.15289,1326.52051,480.0773,-297.52797999999996,1426.83545,711.89465,-290.11008,1411.0792199999999,-123.30547,-261.6503,1467.08545,-402.13388,-271.37186,1410.31006,-623.44135,-223.45092999999997,1422.92273,187.29836,-168.40001,974.4614300000001,-93.86808,-170.01575,959.3104199999999,50.420629999999996,-354.40195,1031.50659,186.84293,-150.15417,705.91113,221.62497000000002,-263.51047,481.74602999999996,195.6377,-233.41351,321.88162,256.05576,-301.85803,83.25155,209.19836,-354.36499,32.56302,228.09059,-139.20863,45.372609999999995,-54.98737,-158.40216,672.99915,-107.62018,-287.42188,485.57813,-80.10944,-274.31644,322.6781,-117.49776000000001,-352.60953,93.40513,-35.5495,-340.21176,92.84073000000001,-140.27501,-195.75075,45.07243,,,,169.36196999999999,-292.41348,85.8233,28.15281,-264.616,483.72003,-62.74341,-396.12881,31.08359,2,9
37.06743,-272.02875,1723.81616,55.76355,-145.57013,1686.4699699999999,30.42131,-334.56546000000003,1600.97131,195.26051,-262.87793,1478.37476,142.35593,-383.27927,1326.50012,479.75644000000005,-297.55798,1426.93835,711.60614,-290.85449,1411.38025,-123.58032,-261.48352,1467.01587,-402.43102999999996,-270.99039,1410.2048300000001,-623.69165,-222.79051,1422.61292,187.22267,-168.46715,974.4649699999999,-93.96389,-169.82838,959.29626,50.16097,-354.35677999999996,1031.4749800000002,186.84236,-150.02516,705.98724,221.56725,-263.60794,481.75024,195.58116,-233.42248999999998,321.87732,256.02811,-301.87658999999996,83.26361,209.18291000000002,-354.37253,32.5642,228.12398,-139.20778,45.39327,-55.04281999999999,-158.22336,672.9848599999999,-107.68146999999999,-287.2713,485.57809000000003,-80.15369,-274.24551,322.68216,-117.49792,-352.599,93.3939,-35.32499,-340.59292999999997,92.83026,-140.25191999999998,-195.7467,45.06834,85.85938,-253.00887999999998,467.42999000000003,169.34705,-292.44394,85.82923000000001,28.06755,-264.46936,483.70544,-62.7495,-396.14673,31.10016,2,9
36.9919,-272.12607,1723.9281,55.7015,-145.59143,1686.44519,30.03645,-334.565,1600.96082,195.00484,-263.06372000000005,1478.41626,142.01819,-383.37363,1326.4854699999999,479.44780999999995,-298.06531,1427.0925300000001,711.2900400000001,-291.88312,1411.79626,-123.87077,-261.3212,1466.90735,-402.6821,-270.61008,1410.0726300000001,-623.8688400000001,-222.18761,1422.23438,187.14836,-168.53024,974.47296,-94.02438000000001,-169.96002,959.23035,49.9169,-354.32336000000004,1031.4491,186.77518999999998,-150.24329,705.94464,221.48796000000002,-263.6048,481.72542999999996,195.56995,-233.43708999999998,321.86422999999996,256.01205,-301.88333,83.28226,209.15044,-354.35605,32.553329999999995,228.12502999999998,-139.22726,45.403690000000005,-55.07845,-158.0498,672.97125,-107.76441000000001,-287.13284,485.55322,-80.19111,-274.15741,322.6539,-117.52058000000001,-352.59406,93.40361999999999,-35.522870000000005,-340.21622,92.86053000000001,-140.27596,-195.74563999999998,45.10263,85.83685,-252.89366,467.40292,169.31895,-292.39331,85.82257,28.0329,-264.44266,483.75644000000005,-62.75286,-396.14333999999997,31.09753,2,9
36.69089,-272.13,1723.90527,55.60045,-145.63487,1686.42114,29.57067,-334.7915,1600.9963400000001,194.66881999999998,-263.34912,1478.3696300000001,141.66891,-383.45111,1326.4668,479.18457,-298.96854,1427.29956,710.98517,-292.59805,1412.05383,-124.17398999999999,-261.18692000000004,1466.87354,-402.98999,-270.21719,1409.91455,-624.1295200000001,-221.66502000000003,1422.1472199999998,187.06361,-168.63911000000002,974.43329,-94.1351,-169.70551,959.2049,49.66433,-354.27045,1031.41626,186.79388,-150.24956,705.93127,221.39267,-263.63156000000004,481.75134,195.48254,-233.29475,321.87881,256.00253,-301.87985,83.25793,209.14899,-354.36252,32.563520000000004,228.136,-139.202,45.40918,-55.132580000000004,-157.88072,672.9612400000001,-107.82404,-286.99921,485.53564000000006,-80.23421,-274.07358,322.66037,-117.52133,-352.58432,93.40071999999999,-35.32271,-340.57339,92.8326,-140.24323,-195.72878,45.09649,85.67099,-252.95212999999998,467.41037,169.3219,-292.38443,85.82387,27.959490000000002,-264.31506,483.73620999999997,-62.74358,-396.12671,31.08403,2,9
36.4184,-272.14981,1723.89124,55.48791,-145.67709,1686.3966100000002,29.162570000000002,-334.80362,1600.98657,194.38991000000001,-263.5304,1478.4021,141.2892,-383.5755,1326.44861,478.85940999999997,-299.47845,1427.46033,710.6864,-293.26592999999997,1412.31592,-124.46229,-261.06747,1466.78638,-403.29599,-269.83832,1409.73181,-624.40338,-221.08569,1421.9967,186.98705,-168.67857,974.4425699999999,-94.2421,-169.49722,959.1908,49.39654,-354.28078999999997,1031.3930699999999,186.78116,-150.10135,706.01709,221.31049,-263.62265,481.73125999999996,195.53561000000002,-233.4218,321.87363,255.98335,-301.87908999999996,83.27447,209.12427,-354.34418,32.57092,228.14162000000002,-139.21541000000002,45.41588,-55.160140000000006,-157.7226,672.9646,-107.92191000000001,-286.84682999999995,485.55502,-80.27499,-274.01416,322.63912999999997,-117.53058,-352.57052999999996,93.39445,-35.54683,-340.18838999999997,92.86884,-140.27251,-195.75145,45.07848,85.632,-252.87395,467.37833,169.28842,-292.36035,85.80344000000001,27.877440000000004,-264.24627999999996,483.7627,-62.75744,-396.16452000000004,31.119790000000002,2,9
35.8622,-272.07912999999996,1723.74805,55.410109999999996,-145.7372,1686.41003,28.72584,-334.78506,1600.97229,194.08585,-263.70514,1478.4243199999999,140.79147,-383.16797,1326.27014,478.53503,-299.98535,1427.59375,710.3881200000001,-293.9664,1412.56714,-124.76541,-260.95862,1466.70471,-403.57538,-269.47336,1409.53564,-624.64044,-220.50009,1421.71631,186.88545,-168.73157,974.45795,-94.32661,-169.22186000000002,959.1969,49.14275,-354.18453999999997,1031.3595,186.75603,-150.09172,706.02655,221.23712,-263.61307,481.75815,195.49135,-233.35032999999999,321.85388,255.95628,-301.86438,83.26436,209.12617,-354.34252999999995,32.57868,228.13486,-139.21465,45.42329,-55.22922,-157.57779,672.94305,-107.98253999999999,-286.70508,485.53079,-80.32699000000001,-273.92389,322.50552000000005,-117.53788,-352.57324,93.40082,-35.36827,-340.54742000000005,92.68191999999999,-140.27126,-195.75716,45.07188,85.5721,-252.70309,467.33385999999996,169.29099,-292.33499,85.8102,27.80208,-264.16135,483.77209000000005,-62.75441,-396.14938,31.095909999999996,2,9
35.534259999999996,-272.10101000000003,1723.7319300000001,55.23835,-145.75357,1686.36414,28.31924,-334.74042000000003,1600.90625,193.8246,-264.03094,1478.73474,140.51633,-383.81872999999996,1326.41406,478.1701,-300.01077000000004,1427.68591,710.06354,-294.66208,1412.8474099999999,-125.0769,-260.86404,1466.61536,-403.88552999999996,-269.11047,1409.3460699999998,-624.94006,-220.11137000000002,1421.8606,186.82272,-168.77631,974.46783,-94.42241,-169.00002,959.16162,48.90007,-354.07605,1031.28784,186.71387,-150.27522,706.0020099999999,221.19522,-263.67978,481.79250999999994,195.47163,-233.31392999999997,321.85059,255.95852999999997,-301.90027000000003,83.29883000000001,209.1188,-354.3161,32.586079999999995,228.17049,-139.20334,45.408590000000004,-55.25019,-157.43382,672.94855,-108.07417,-286.56302,485.50827000000004,-80.36609,-273.86166000000003,322.58411,-117.53753999999999,-352.56253,93.38727,-35.35532,-340.56006,92.70631,-140.24431,-195.74911,45.07374,85.54885,-252.47707999999997,467.30835,169.28169,-292.32592999999997,85.7975,27.736629999999998,-264.04276,483.77884000000006,-62.74737,-396.14328,31.10153,2,9
35.18387,-272.12061,1723.7247300000001,55.08192,-145.8219,1686.34338,27.8804,-334.75607,1600.8999,193.50246,-264.22565,1478.76978,140.14919,-383.91269,1326.3967300000002,477.82266,-300.4899,1427.8311800000001,709.7744799999999,-295.30042000000003,1413.11804,-125.38683,-260.73251,1466.53503,-404.17947000000004,-268.71594,1409.19495,-625.1684,-219.35526000000002,1421.40967,186.75725,-168.80557,974.5029300000001,-94.4689,-168.91949,959.17401,48.65664,-354.03107,1031.2406,186.6788,-150.27298000000002,706.0192900000001,221.1217,-263.62021,481.79037,195.41533,-233.14643999999998,321.85831,255.95085,-301.85632000000004,83.30468,209.09633,-354.31588999999997,32.580909999999996,228.15232999999998,-139.22058,45.428090000000005,-55.27916999999999,-157.29128,672.91626,-108.14908,-286.43453999999997,485.51422,-80.36632,-273.76511,322.57403999999997,-117.55538999999999,-352.52692,93.39674000000001,-35.3443,-340.5451,92.85647,-140.25641000000002,-195.74812,45.06723,85.48731,-251.37531,467.31757000000005,169.27408,-292.28604,85.79696,27.68389,-263.93979,483.80435,-62.75719,-396.12906,31.09311,2,9
