,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,subject_id,activity
3,37.06743,-272.02875,1723.81616,55.76355,-145.57013,1686.46997,30.42131,-334.56546000000003,1600.97131,195.26051,-262.87793,1478.37476,142.35593,-383.27927,1326.50012,479.75644000000005,-297.55798,1426.93835,711.60614,-290.85449,1411.38025,-123.58032,-261.48352,1467.01587,-402.43103,-270.99039,1410.20483,-623.69165,-222.79051,1422.61292,187.22267,-168.46715,974.46497,-93.96389,-169.82838,959.29626,50.16097,-354.35678,1031.4749800000002,186.84236,-150.02516,705.98724,221.56725,-263.60794,481.75024,195.58116,-233.42249,321.87732,256.02811,-301.87659,83.26361,209.18291,-354.37253,32.5642,228.12398,-139.20778,45.39327,-55.04281999999999,-158.22336,672.9848599999999,-107.68147,-287.2713,485.57809,-80.15369,-274.24551,322.68216,-117.49792,-352.599,93.3939,-35.32499,-340.59293,92.83026,-140.25191999999998,-195.7467,45.06834,85.85938,-253.00888,467.42999,169.34705,-292.44394,85.82923000000001,28.06755,-264.46936,483.70544,-62.7495,-396.14673,31.10016,2,9
4,36.9919,-272.12607,1723.9281,55.7015,-145.59143,1686.44519,30.03645,-334.565,1600.96082,195.00484,-263.06372000000005,1478.41626,142.01819,-383.37363,1326.48547,479.44781,-298.06531,1427.09253,711.2900400000001,-291.88312,1411.79626,-123.87077,-261.3212,1466.90735,-402.6821,-270.61008,1410.07263,-623.8688400000001,-222.18761,1422.23438,187.14836,-168.53024,974.47296,-94.02438,-169.96002,959.23035,49.9169,-354.32336000000004,1031.4491,186.77519,-150.24329,705.94464,221.48796,-263.6048,481.72543,195.56995,-233.43709,321.86423,256.01205,-301.88333,83.28226,209.15044,-354.35605,32.553329999999995,228.12503,-139.22726,45.403690000000005,-55.07845,-158.0498,672.97125,-107.76441,-287.13284,485.55322,-80.19111,-274.15741,322.6539,-117.52058,-352.59406,93.40362,-35.522870000000005,-340.21622,92.86053,-140.27596,-195.74564,45.10263,85.83685,-252.89366,467.40292,169.31895,-292.39331,85.82257,28.0329,-264.44266,483.75644000000005,-62.75286,-396.14334,31.09753,2,9
5,36.69089,-272.13,1723.90527,55.60045,-145.63487,1686.42114,29.57067,-334.7915,1600.99634,194.66882,-263.34912,1478.36963,141.66891,-383.45111,1326.4668,479.18457,-298.96854,1427.29956,710.98517,-292.59805,1412.05383,-124.17399,-261.18692000000004,1466.87354,-402.98999,-270.21719,1409.91455,-624.1295200000001,-221.66502000000003,1422.1472199999998,187.06361,-168.63911000000002,974.43329,-94.1351,-169.70551,959.2049,49.66433,-354.27045,1031.41626,186.79388,-150.24956,705.93127,221.39267,-263.63156000000004,481.75134,195.48254,-233.29475,321.87881,256.00253,-301.87985,83.25793,209.14899,-354.36252,32.563520000000004,228.136,-139.202,45.40918,-55.13258,-157.88072,672.9612400000001,-107.82404,-286.99921,485.53564000000006,-80.23421,-274.07358,322.66037,-117.52133,-352.58432,93.40072,-35.32271,-340.57339,92.8326,-140.24323,-195.72878,45.09649,85.67099,-252.95213,467.41037,169.3219,-292.38443,85.82387,27.95949,-264.31506,483.73621,-62.74358,-396.12671,31.08403,2,9
6,36.4184,-272.14981,1723.89124,55.48791,-145.67709,1686.3966100000002,29.16257,-334.80362,1600.98657,194.38991,-263.5304,1478.4021,141.2892,-383.5755,1326.44861,478.85941,-299.47845,1427.46033,710.6864,-293.26593,1412.31592,-124.46229,-261.06747,1466.78638,-403.29599,-269.83832,1409.73181,-624.40338,-221.08569,1421.9967,186.98705,-168.67857,974.44257,-94.2421,-169.49722,959.1908,49.39654,-354.28079,1031.39307,186.78116,-150.10135,706.01709,221.31049,-263.62265,481.73126,195.53561,-233.4218,321.87363,255.98335,-301.87909,83.27447,209.12427,-354.34418,32.57092,228.14162,-139.21541000000002,45.41588,-55.160140000000006,-157.7226,672.9646,-107.92191,-286.84682999999995,485.55502,-80.27499,-274.01416,322.63913,-117.53058,-352.57053,93.39445,-35.54683,-340.18839,92.86884,-140.27251,-195.75145,45.07848,85.632,-252.87395,467.37833,169.28842,-292.36035,85.80344000000001,27.877440000000004,-264.24628,483.7627,-62.75744,-396.16452,31.11979,2,9
7,35.8622,-272.07913,1723.74805,55.41011,-145.7372,1686.41003,28.72584,-334.78506,1600.97229,194.08585,-263.70514,1478.42432,140.79147,-383.16797,1326.27014,478.53503,-299.98535,1427.59375,710.3881200000001,-293.9664,1412.56714,-124.76541,-260.95862,1466.70471,-403.57538,-269.47336,1409.53564,-624.64044,-220.50009,1421.71631,186.88545,-168.73157,974.45795,-94.32661,-169.22186000000002,959.1969,49.14275,-354.18454,1031.3595,186.75603,-150.09172,706.02655,221.23712,-263.61307,481.75815,195.49135,-233.35033,321.85388,255.95628,-301.86438,83.26436,209.12617,-354.34252999999995,32.57868,228.13486,-139.21465,45.42329,-55.22922,-157.57779,672.94305,-107.98254,-286.70508,485.53079,-80.32699000000001,-273.92389,322.50552000000005,-117.53788,-352.57324,93.40082,-35.36827,-340.54742000000005,92.68192,-140.27126,-195.75716,45.07188,85.5721,-252.70309,467.33386,169.29099,-292.33499,85.8102,27.80208,-264.16135,483.7720900000001,-62.75441,-396.14938,31.09591,2,9
8,35.53426,-272.10101000000003,1723.73193,55.23835,-145.75357,1686.36414,28.31924,-334.74042000000003,1600.90625,193.8246,-264.03094,1478.73474,140.51633,-383.81873,1326.41406,478.1701,-300.01077000000004,1427.68591,710.06354,-294.66208,1412.84741,-125.0769,-260.86404,1466.61536,-403.88553,-269.11047,1409.3460699999998,-624.94006,-220.11137,1421.8606,186.82272,-168.77631,974.46783,-94.42241,-169.00002,959.16162,48.90007,-354.07605,1031.28784,186.71387,-150.27522,706.0020099999999,221.19522,-263.67978,481.79251,195.47163,-233.31393,321.85059,255.95853,-301.90027000000003,83.29883000000001,209.1188,-354.3161,32.586079999999995,228.17049,-139.20334,45.40859,-55.25019,-157.43382,672.94855,-108.07417,-286.56302,485.50827,-80.36609,-273.86166000000003,322.58411,-117.53754,-352.56253,93.38727,-35.35532,-340.56006,92.70631,-140.24431,-195.74911,45.07374,85.54885,-252.47708,467.30835,169.28169,-292.32593,85.7975,27.73663,-264.04276,483.77884000000006,-62.74737,-396.14328,31.10153,2,9
9,35.18387,-272.12061,1723.72473,55.08192,-145.8219,1686.34338,27.8804,-334.75607,1600.8999,193.50246,-264.22565,1478.76978,140.14919,-383.91269,1326.3967300000002,477.82266,-300.4899,1427.83118,709.7744799999999,-295.30042000000003,1413.11804,-125.38683,-260.73251,1466.53503,-404.17947,-268.71594,1409.19495,-625.1684,-219.35526,1421.40967,186.75725,-168.80557,974.50293,-94.4689,-168.91949,959.17401,48.65664,-354.03107,1031.2406,186.6788,-150.27298000000002,706.0192900000001,221.1217,-263.62021,481.79037,195.41533,-233.14644,321.85831,255.95085,-301.85632000000004,83.30468,209.09633,-354.31589,32.58091,228.15233,-139.22058,45.428090000000005,-55.27916999999999,-157.29128,672.91626,-108.14908,-286.43454,485.51422,-80.36632,-273.76511,322.57404,-117.55539,-352.52692,93.39674,-35.3443,-340.5451,92.85647,-140.25641000000002,-195.74812,45.06723,85.48731,-251.37531,467.3175700000001,169.27408,-292.28604,85.79696,27.68389,-263.93979,483.80435,-62.75719,-396.12906,31.09311,2,9
10,34.99466,-272.21625,1723.8341100000002,54.89071,-145.87238,1686.3122600000002,27.44807,-334.78342000000004,1600.92065,193.19844,-264.4216,1478.7926,139.78316,-384.01431,1326.3687699999998,477.55399000000006,-301.4068,1428.0175800000002,709.46082,-295.96191,1413.3208,-125.72733,-260.6153,1466.47986,-404.48737,-268.31818,1409.05505,-625.39996,-218.66801,1421.08813,186.64867,-168.88116000000002,974.54175,-94.63626,-168.57039,959.14911,48.40697,-353.96063,1031.22009,186.65909,-150.26448,706.04797,221.06038,-263.60199,481.79312,195.42564,-233.21185,321.84521,255.93517000000003,-301.89584,83.33211999999999,209.07585,-354.31317,32.595620000000004,228.17996,-139.196,45.43064,-55.33906999999999,-157.15556,672.9132099999999,-108.23416,-286.28796,485.50665,-80.37573,-273.73523,322.55286,-117.56071,-352.51898,93.39414,-35.34029,-340.55826,92.88235,-140.24739,-195.763,45.07443,85.43715999999999,-251.15872,467.27618,169.2739,-292.2706,85.78656,27.56932,-263.84827,483.78903,-62.75982,-396.14325,31.08469,2,9
11,34.590740000000004,-272.23129,1723.81372,54.67456,-145.91925,1686.29236,27.06577,-334.51224,1600.78174,192.86688,-264.64188,1478.80896,139.36768,-384.12827,1326.34119,477.20978,-301.89786000000004,1428.10779,709.12463,-296.59967,1413.56372,-126.05537,-260.47968,1466.41052,-404.81775,-267.90103,1408.93237,-625.66425,-218.0871,1421.06201,186.55527,-168.9052,974.55078,-94.71249,-168.37276,959.12341,48.12611,-353.93338,1031.17529,186.66806,-150.07114,706.11591,221.00116,-263.53336,481.79575,195.3665,-233.01605,321.8436,255.9292,-301.87427,83.34814,209.08183,-354.31631,32.62716,228.19907,-139.22743,45.41389,-55.39759,-156.98448,672.89661,-108.29784,-286.18579,485.50928,-80.44675,-273.64072000000004,322.57166,-117.56734,-352.5174,93.38606,-35.57022,-340.14359,92.88722,-140.24953,-195.73622,45.07829,85.34956,-251.12105,467.2652,169.26564,-292.27451,85.79916,27.21997,-264.12622000000005,484.15634000000006,-62.7704,-396.13876,31.11134,2,9
12,34.18308,-272.2601,1723.8062699999998,54.42197,-145.95909,1686.27283,26.56266,-334.8187,1600.90906,192.49451,-264.88782000000003,1478.75684,138.94324,-384.21045,1326.30872,476.87512,-302.39709,1428.1826199999998,708.81079,-297.19006,1413.77625,-126.39645,-260.31189,1466.34778,-405.12604,-267.51639,1408.79944,-625.90259,-217.51091,1420.896,186.49278,-168.97072,974.58588,-94.8116,-168.18607,959.10199,47.85017,-353.87061,1031.14648,186.65895,-150.06364,706.17902,220.93736,-263.49905,481.84521,195.34285,-232.93607000000003,321.86752,255.93721,-301.85712,83.32619,209.08131,-354.30731000000003,32.61674,228.21202,-139.2085,45.43782,-55.409180000000006,-156.86433,672.84241,-108.37492,-286.08218,485.48956,-80.49938,-273.56546000000003,322.56485,-117.57757,-352.50653,93.38947,-35.37327,-340.53714,92.90227,-140.22946000000002,-195.73535,45.05453,85.32800999999999,-251.00496,467.25577,169.25117,-292.2337,85.82239,,,,-62.75801,-396.12839,31.11457,2,9
