Flexible 1回目
2021/12/25 12:38:30,130,40
2021/12/25 12:40:54,130,45
2021/12/25 12:43:16,130,50
2021/12/25 12:45:35,130,55
2021/12/25 12:47:57,130,60
2021/12/25 12:50:17,130,65
2021/12/25 12:52:38,130,70
2021/12/25 12:55:05,130,75
2021/12/25 12:57:33,130,80
2021/12/25 12:59:55,130,85
2021/12/25 13:02:16,130,90
2021/12/25 13:04:39,130,95
2021/12/25 13:07:00,130,100
2021/12/25 13:09:20,130,105
2021/12/25 13:12:01,130,110
2021/12/25 13:14:25,130,115
2021/12/25 13:16:51,130,120
2021/12/25 13:19:17,130,125
2021/12/25 13:21:42,130,130
2021/12/25 13:24:03,130,135
2021/12/25 13:26:23,130,140
2021/12/25 13:28:47,130,145
2021/12/25 13:31:19,130,150
2021/12/25 13:33:44,130,155
2021/12/25 13:36:06,130,160
2021/12/25 13:38:29,130,165
2021/12/25 13:40:56,130,170
2021/12/25 13:43:24,130,175
2021/12/25 13:45:54,130,180
2021/12/25 13:48:29,130,185
2021/12/25 13:51:00,130,190
2021/12/25 13:53:19,130,195
2021/12/25 13:55:44,130,200
