in0,in1,in2,in3,in4,in5,in6,in7,in8,in9,in‚ ,in‚¢,in‚¤,inA,inB,inC,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,inƒA,inƒC,inƒE,inD,inE,inF,Tester
3.809818181818183,4.7914545454545445,4.990000000000004,4.990000000000004,4.472545454545453,4.9867272727272764,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.290545454545455,4.548000000000001,3.470727272727272,3.4990909090909077,3.2732727272727287,4.427818181818184,4.990000000000004,4.8372727272727305,4.990000000000004,4.4245454545454574,3.6576363636363625,4.022363636363636,4.266,4.990000000000004,4.990000000000004,4.990000000000004,2.4456363636363623,4.990000000000004,3.8352727272727267,3.19890909090909,3.229272727272725,ooyama
3.841272727272728,4.588909090909095,4.990000000000004,4.846909090909089,4.34818181818182,4.7678181818181775,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,3.1407272727272724,4.343818181818183,3.566181818181817,3.636181818181819,3.593272727272728,4.570000000000005,4.990000000000004,4.990000000000004,4.990000000000004,4.2945454545454576,3.6396363636363596,4.075818181818179,4.294000000000001,4.990000000000004,4.990000000000004,4.990000000000004,2.479090909090909,4.990000000000004,3.942727272727272,3.278909090909092,3.2941818181818183,ooyama
3.759454545454545,4.509272727272725,4.990000000000004,4.990000000000004,4.211818181818181,4.437454545454545,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.532545454545454,4.74909090909091,3.3125454545454533,3.3672727272727268,3.1112727272727287,4.317454545454546,4.85709090909091,4.7721818181818225,4.990000000000004,4.427818181818178,3.802909090909092,4.0069090909090885,4.3012727272727265,4.990000000000004,4.990000000000004,4.990000000000004,2.3894545454545457,4.990000000000004,4.175999999999997,3.3943636363636345,3.1547272727272717,ooyama
3.896181818181816,4.6634545454545435,4.990000000000004,4.763818181818183,4.384363636363637,4.475636363636363,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,3.0636363636363635,4.6823636363636325,3.521818181818181,3.7739999999999996,3.69,4.473636363636363,4.990000000000004,4.841818181818184,4.990000000000004,4.302545454545458,3.7549090909090888,4.1367272727272715,4.32418181818182,4.990000000000004,4.990000000000004,4.990000000000004,2.448909090909092,4.990000000000004,4.173636363636364,3.4209090909090905,3.3060000000000023,ooyama
3.4216363636363627,4.555818181818182,4.990000000000004,4.990000000000004,3.706909090909092,4.023090909090911,4.4987272727272725,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.9552727272727264,4.990000000000004,3.120000000000001,3.195818181818181,2.9994545454545456,4.452909090909091,4.990000000000004,4.857818181818186,4.990000000000004,4.274363636363637,3.479090909090909,3.6550909090909087,3.771454545454544,4.990000000000004,4.990000000000004,4.990000000000004,2.479272727272726,4.990000000000004,3.856363636363636,3.097454545454545,2.948363636363635,ooyama
3.5078181818181813,4.676727272727272,4.990000000000004,4.990000000000004,4.521272727272729,4.4885454545454575,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.7614545454545456,4.990000000000004,3.3490909090909087,3.313636363636364,3.443272727272728,4.562727272727275,4.990000000000004,4.951272727272731,4.990000000000004,4.488545454545454,3.795636363636365,4.059636363636366,4.115636363636366,4.990000000000004,4.990000000000004,4.990000000000004,2.530909090909092,4.990000000000004,4.016363636363637,3.3985454545454563,3.348545454545456,ooyama
4.130363636363638,4.990000000000004,4.990000000000004,4.990000000000004,4.832181818181824,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.9385454545454537,4.639454545454544,3.584181818181817,3.830545454545453,3.466727272727271,4.574727272727274,4.990000000000004,4.990000000000004,4.990000000000004,4.8232727272727285,4.131818181818184,4.129454545454546,4.478909090909093,4.990000000000004,4.990000000000004,4.990000000000004,2.4481818181818187,4.704545454545454,4.207090909090908,3.5805454545454545,3.328909090909093,ooyama
3.877818181818185,4.990000000000004,4.990000000000004,4.990000000000004,4.921818181818184,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.8249090909090913,4.448181818181818,3.5494545454545423,3.912363636363637,3.4629090909090885,4.460727272727274,4.990000000000004,4.990000000000004,4.990000000000004,4.376545454545453,3.697090909090911,3.869454545454548,4.181272727272724,4.990000000000004,4.990000000000004,4.990000000000004,2.591818181818183,4.990000000000004,3.6750909090909114,3.17581818181818,3.2203636363636337,ooyama
4.133636363636364,4.990000000000004,4.990000000000004,4.990000000000004,4.932909090909094,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,3.3314545454545463,4.010545454545454,3.9156363636363634,4.07490909090909,3.7276363636363623,4.496363636363637,4.990000000000004,4.990000000000004,4.990000000000004,4.393454545454548,3.832545454545454,4.092181818181821,4.4234545454545415,4.990000000000004,4.990000000000004,4.990000000000004,2.6747272727272726,4.963636363636367,3.9321818181818182,3.4874545454545443,3.366909090909089,ooyama
3.7969090909090912,4.990000000000004,4.990000000000004,4.990000000000004,4.7014545454545456,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,2.8480000000000003,4.430181818181817,3.769454545454544,3.92309090909091,3.7065454545454513,4.466545454545456,4.990000000000004,4.8899999999999935,4.990000000000004,4.3183636363636335,3.809818181818185,4.017818181818183,4.372000000000001,4.990000000000004,4.990000000000004,4.990000000000004,2.5092727272727275,4.990000000000004,3.895272727272727,3.3161818181818195,3.2336363636363625,ooyama
