1.976,0.882
2.856,0.88
3.736,0.88
4.622,0.886
5.506,0.884
6.388,0.882
7.27,0.882
8.154,0.884
9.04,0.886
9.92,0.88
10.806,0.886
11.688,0.882
12.572,0.884
13.456,0.884
14.338,0.882
15.222,0.884
16.106,0.884
16.992,0.886
17.872,0.88
18.756,0.884
19.638,0.882
20.524,0.886
21.406,0.882
22.29,0.884
23.174,0.884
24.054,0.88
24.936,0.882
25.818,0.882
26.7,0.882
27.584,0.884
28.464,0.88
29.352,0.888
30.234,0.882
31.116,0.882
31.996,0.88
32.88,0.884
33.762,0.882
34.644,0.882
35.526,0.882
36.408,0.882
37.292,0.884
38.174,0.882
39.058,0.884
39.942,0.884
40.824,0.882
41.706,0.882
42.586,0.88
43.468,0.882
44.354,0.886
45.236,0.882
46.116,0.88
47.002,0.886
47.884,0.882
48.764,0.88
49.646,0.882
50.53,0.884
51.414,0.884
52.296,0.882
53.178,0.882
54.062,0.884
54.942,0.88
