,distance,time
0,1.4397642873000007,6
1,1.4971930288000004,100
2,1.52376596582,208
3,1.5341249746199999,301
4,1.5887640128599996,394
5,1.62330429608,509
6,1.6513688101600001,599
7,1.6316729857200003,696
8,1.5880964476999997,803
9,1.5397699707599999,897
10,1.50640961894,1012
11,1.47214794596,1095
12,1.4311738053399998,1213
13,1.4191022720799997,1307
14,1.4243127518199996,1402
15,1.4290600664200002,1509
16,1.4278523026999996,1615
17,1.4399950947399995,1708
18,1.4177730029999993,1802
19,1.415432777719999,1916
20,1.392320083979999,2009
21,1.3887839510599993,2103
22,1.3901553650399996,2218
23,1.3839664001999994,2312
24,1.4650676574999997,2403
25,1.6388853530599996,2521
26,1.5885955675800005,2612
27,1.625286806060001,2709
28,1.7166524304200004,2843
29,1.6774395865200007,2957
30,1.6851726165400005,3032
31,1.6711778046400005,3113
32,1.6705238129400004,3219
33,1.6864901673000008,3313
34,1.6619258361200009,3428
35,1.6205513243000007,3521
36,1.5900899290000015,3615
37,1.5987123654600006,3723
38,1.6100595945200011,3816
39,1.631460908500001,3931
40,1.645916596900001,4018
41,1.6663995681800006,4133
42,1.696971223540001,4233
43,1.7328775956200013,4327
44,1.7607657521800002,4435
45,1.8180582327000003,4536
46,1.8945647025400005,4629
47,1.9469196509599989,4736
48,1.99797214846,4853
49,1.9374473680800002,4936
50,1.8583424485599993,5037
51,1.7854340012399994,5139
52,1.749049831860001,5270
53,1.72625536196,5362
54,1.69102688028,5460
55,1.6560033493799997,5608
56,1.63445849624,5643
57,1.5761402110599982,5748
58,1.5869789180399991,5845
59,1.5790982666399984,5939
60,1.5747081147199988,6032
61,1.5964881746999984,6148
62,1.6055643173999994,6241
63,1.58467165788,6335
64,1.5586797755800004,6450
65,1.51119283688,6551
66,1.50855703558,6644
67,1.535534818779999,6752
68,1.5705207350599997,6846
69,1.6024319135800003,6947
70,1.59555090146,7046
71,1.5708181743599998,7140
72,1.5878318842799999,7247
73,1.592875372,7394
74,1.4982142391399997,7516
75,1.3575241756800003,7653
76,1.3683298931800003,7744
77,1.3828899668799999,7848
78,1.4100429209600003,7945
79,1.40973951028,7985
80,1.3952348322199997,8061
81,1.3282369379399996,8147
82,1.3074913017600003,8262
83,1.310094146,8354
84,1.3185988456799997,8467
85,1.347382232179999,8555
86,1.368268279439999,8653
87,1.3588937884400003,8759
88,1.3252217304600002,8853
89,1.3019626058200007,8968
90,1.2859954574999997,9062
91,1.2661849257400006,9155
92,1.2657132501000008,9263
93,1.2368608348000003,9357
94,1.18665685518,9462
95,1.1531997474600002,9558
96,1.0841009415399998,9674
97,1.0478912572399999,9764
98,1.0261475743000001,9868
99,1.0302943943799998,9970
100,1.09895493384,10070
101,1.0623992663,10163
102,1.023363133099999,10289
103,1.019574192599999,10366
104,1.0183421221199993,10464
105,1.003568363999999,10578
106,1.0050167056399992,10696
107,1.0268201874599994,10780
108,1.0421173287800005,10900
109,0.99148823976,10992
110,1.0166135449600002,11069
111,1.03532971042,11185
112,1.03441802826,11279
113,1.05126985016,11376
114,1.0660132582600004,11487
115,1.09321489064,11581
116,1.1662612195200006,11682
117,1.1180615889400003,11772
118,1.0919671751400002,11890
119,1.0548284843200006,11976
120,1.0501671989200003,12092
121,1.0760253764000005,12185
122,1.1079487217800004,12279
123,1.1335888585200005,12394
124,1.1798859777600004,12480
125,1.2042363212199998,12595
126,1.16451175764,12686
127,1.1883008433600006,12851
128,1.192884461560001,12918
129,1.198512757300001,12997
130,1.2081599587200005,13102
131,1.2060764073199994,13207
132,1.1945446080999995,13295
133,1.1909251319200005,13394
134,1.2122101660200006,13513
135,1.200966910340001,13588
136,1.2064452427600008,13696
137,1.2260465309200004,13795
138,1.20961217418,13897
139,1.21947591318,14005
140,1.2457185173599996,14099
141,1.2851367865200005,14207
142,1.3687586781399992,14304
143,1.3768159868999994,14406
144,1.3487000086599987,14502
145,1.3197087977199986,14600
146,1.3119728228599985,14708
147,1.2870999475999985,14794
148,1.283289765139999,14909
149,1.2660716970399988,14996
150,1.261505453739999,15114
151,1.293194438759999,15218
152,1.3354625377599985,15320
153,1.3617095468599996,15413
154,1.3898189518999993,15509
155,1.422633679819999,15641
156,1.4244760290399996,15734
157,1.44019218502,15853
158,1.46753221992,15913
159,1.4898633890999986,16006
160,1.47670028452,16117
161,1.4167996159800003,16215
162,1.4050991947399998,16309
163,1.3879366951800003,16415
164,1.3665029069599999,16509
165,1.3463614198000005,16627
166,1.3489652728200001,16720
167,1.3579923709800001,16811
168,1.3554588808000008,16929
169,1.361279784620001,17022
170,1.3732797722399994,17114
171,1.3340267813600002,17232
172,1.3380067963600002,17324
173,1.3183808692000005,17465
174,1.3197735693999997,17524
175,1.3447898047400002,17617
176,1.375680708919999,17735
177,1.3622033789000016,17828
178,1.3555989172000014,17917
179,1.3641495860599995,18027
180,1.366894103999999,18151
181,1.375487449139999,18269
182,1.3407588256800014,18334
183,1.3162295746200012,18432
184,1.304208592639999,18525
185,1.2930114862199988,18630
186,1.297094195459999,18727
187,1.300661936719999,18842
188,1.3214336385599998,18935
189,1.3297900935799993,19034
190,1.3369876526799997,19142
191,1.35210716042,19244
192,1.3568777645399994,19344
193,1.3722530468400012,19446
194,1.376669919780001,19539
195,1.3887610322600012,19633
196,1.4224149932400012,19749
197,1.4509805899800003,19841
198,1.4776182045400008,19943
199,1.4967749887200008,20052
200,1.5049785810400005,20176
201,1.4906592666800005,20289
202,1.44609084402,20346
203,1.4016573960599998,20474
204,1.3880232711999998,20559
205,1.37718958432,20666
206,1.3564803602999995,20767
207,1.3452614272399996,20855
208,1.3500130140399995,20949
209,1.3450539866399986,21057
210,1.347143067459999,21142
211,1.3601354991199988,21241
212,1.3636966410799993,21358
213,1.3765951549199993,21460
214,1.394969117319999,21546
215,1.3958125314999985,21661
216,1.3993222362199988,21751
217,1.4176431590799985,21845
218,1.4400255933,21949
219,1.4464714677999992,22046
220,1.4630228780799994,22164
221,1.4805377833399993,22259
222,1.484847952819999,22389
223,1.4706764541800004,22511
224,1.4360705149999993,22646
225,1.4060644981799992,22740
226,1.3456897063599995,22770
227,1.3268287777799994,22853
228,1.3221830333999989,22969
229,1.2945589106599993,23063
230,1.2781997259599998,23155
231,1.2519472054799998,23271
232,1.2515199546199998,23360
233,1.299082501720001,23467
234,1.30149176102,23564
235,1.3023303381800004,23662
236,1.3315529452600006,23775
237,1.3280517245000008,23868
238,1.280266031660001,23959
239,1.27539228492,24077
240,1.2907531707400004,24170
241,1.2808471019599998,24264
242,1.2989715662,24379
243,1.3090880804400002,24473
244,1.3126034118599996,24566
245,1.320339110599999,24682
246,1.3086497683999998,24765
247,1.2866659847999997,24887
