ファイル,レシピ1,レシピ2,レシピ3
subject2_file_457,0,0,0
subject2_file_679,0,0,0
subject2_file_95,0,0,0
subject2_file_899,0,0,0
subject2_file_368,0,0,0
subject2_file_425,0,0,0
subject2_file_646,0,0,0
subject2_file_52,0,0,0
subject2_file_123,0,0,0
subject2_file_821,0,0,0
subject2_file_641,0,0,0
subject2_file_101,0,0,0
subject2_file_880,0,0,0
subject2_file_743,0,0,0
subject2_file_485,0,0,0
subject2_file_92,0,0,0
subject2_file_25,0,0,0
subject2_file_180,0,0,0
subject2_file_586,0,0,0
subject2_file_453,0,0,0
subject2_file_308,0,0,0
subject2_file_263,0,0,0
subject2_file_847,0,0,0
subject2_file_723,0,0,0
subject2_file_565,0,0,0
subject2_file_37,0,0,0
subject2_file_325,0,0,0
subject2_file_792,0,0,0
subject2_file_872,0,0,0
subject2_file_831,0,0,0
subject2_file_1,0,0,0
subject2_file_257,0,0,0
subject2_file_540,0,0,0
subject2_file_635,0,0,0
subject2_file_803,0,0,0
subject2_file_172,0,0,0
subject2_file_581,0,0,0
subject2_file_674,0,0,0
subject2_file_138,0,0,0
subject2_file_770,0,0,0
subject2_file_4,0,0,0
subject2_file_464,0,0,0
subject2_file_409,0,0,0
subject2_file_218,0,0,0
subject2_file_749,0,0,0
subject2_file_452,0,0,0
subject2_file_517,0,0,0
subject2_file_709,0,0,0
subject2_file_650,0,0,0
subject2_file_96,0,0,0
subject2_file_500,0,0,0
subject2_file_832,0,0,0
subject2_file_980,0,0,0
subject2_file_923,0,0,0
subject2_file_314,0,0,0
subject2_file_731,0,0,0
subject2_file_592,0,0,0
subject2_file_129,0,0,0
subject2_file_549,0,0,0
subject2_file_17,0,0,0
subject2_file_49,0,0,0
subject2_file_402,0,0,0
subject2_file_526,0,0,0
subject2_file_942,0,0,0
subject2_file_724,0,0,0
subject2_file_74,0,0,0
subject2_file_248,0,0,0
subject2_file_344,0,0,0
subject2_file_588,0,0,0
subject2_file_295,0,0,0
subject2_file_658,0,0,0
subject2_file_358,0,0,0
subject2_file_746,0,0,0
subject2_file_541,0,0,0
subject2_file_202,0,0,0
subject2_file_171,0,0,0
subject2_file_840,0,0,0
subject2_file_436,0,0,0
subject2_file_85,0,0,0
subject2_file_681,0,0,0
subject2_file_495,0,0,0
subject2_file_341,0,0,0
subject2_file_522,0,0,0
subject2_file_324,0,0,0
subject2_file_157,0,0,0
subject2_file_775,0,0,0
subject2_file_336,0,0,0
subject2_file_838,0,0,0
subject2_file_911,0,0,0
subject2_file_175,0,0,0
subject2_file_114,0,0,0
subject2_file_926,0,0,0
subject2_file_473,0,0,0
subject2_file_917,0,0,0
subject2_file_763,0,0,0
subject2_file_624,0,0,0
subject2_file_952,0,0,0
subject2_file_328,0,0,0
subject2_file_204,0,0,0
subject2_file_89,0,0,0
subject2_file_616,0,0,0
subject2_file_642,0,0,0
subject2_file_721,0,0,0
subject2_file_199,0,0,0
subject2_file_378,0,0,0
subject3_file_867,2.069682866334915,1.57135671377182,0.2193276733160019
subject3_file_537,2.0805824995040894,0.9976585656404495,1.1421180441975594
subject3_file_753,2.034958094358444,1.1862983405590057,1.0522601082921028
subject3_file_335,2.4044584929943085,2.321843385696411,1.1168621182441711
subject3_file_718,2.0921418517827988,1.4993985947221518,2.4379038512706757
subject3_file_855,1.012820303440094,1.049970917403698,2.0586440712213516
subject3_file_850,2.121680825948715,1.301795057952404,0.8689436987042427
subject3_file_901,1.364590734243393,1.6095353364944458,1.2328195981681347
subject3_file_14,2.601179003715515,1.0751106645911932,1.2152159586548805
subject3_file_85,1.6378878895193338,3.0384559631347656,1.6828347593545914
subject3_file_36,2.5776848047971725,1.6827696710824966,1.3169057592749596
subject3_file_415,1.3180841505527496,1.390351414680481,1.743927426636219
subject3_file_97,0.9338999390602112,0.8107596933841705,1.301322102546692
subject3_file_554,1.2782569155097008,1.3485982865095139,1.4806887470185757
subject3_file_389,2.562275469303131,1.085873601026833,0.4631245881319046
subject3_file_931,2.0875438898801804,1.3827512133866549,0.517418310046196
subject3_file_893,1.254287302494049,1.90010604262352,1.0261859744787216
subject3_file_61,1.3991107866168022,2.7058394253253937,1.5156690999865532
subject3_file_315,1.7554685771465302,1.5786425322294235,1.3511244170367718
subject3_file_34,2.195806711912155,1.273674637079239,1.0026173004880548
subject3_file_991,2.0646378099918365,1.7110103983432055,0.4058944284915924
subject3_file_246,2.826409325003624,1.9700914025306702,1.3987909778952599
subject3_file_146,2.7967460453510284,1.7196968533098698,0.8170621320605278
subject3_file_104,1.5461350455880165,2.043045289814472,2.621841587126255
subject3_file_264,2.1209830343723297,1.4925952553749084,0.2253876067698002
subject3_file_808,2.4038016200065613,1.1247379630804062,0.9327284023165703
subject3_file_827,2.5838341116905212,1.4740254580974579,0.19452304393053055
subject3_file_973,2.769555151462555,1.1665944457054138,1.5605931878089905
subject3_file_935,1.9998828321695328,2.6292815506458282,1.249288633465767
subject3_file_609,1.2558663487434387,2.0135096311569214,1.5306908786296844
subject3_file_216,1.9453162848949432,1.5223059952259064,0.485412135720253
subject3_file_829,2.003552734851837,1.2987313568592072,0.7303066290915012
subject3_file_352,0.6665311306715012,1.3857333213090897,2.000563234090805
subject3_file_562,2.288416624069214,1.979785829782486,1.2986232787370682
subject3_file_231,2.436324656009674,1.9916651472449303,1.5292035341262817
subject3_file_525,0.8054584786295891,1.7769862413406372,0.6291578896343708
subject3_file_382,2.7369115948677063,0.4003473757766187,1.5440476834774017
subject3_file_526,1.5708437114953995,1.391191989183426,1.6165637969970703
subject3_file_949,2.1774409413337708,1.6437976509332657,0.8994431868195534
subject3_file_580,1.1139458492398262,1.0593491792678833,2.5597447752952576
subject3_file_99,2.2281891107559204,0.7549130022525787,1.5119406580924988
subject3_file_610,2.666785717010498,1.048252895474434,0.928631454706192
subject3_file_547,1.7053982764482498,0.8039802312850952,2.366379737854004
subject3_file_362,1.603981712833047,2.365320697426796,3.0718132853507996
subject3_file_56,2.0523601174354553,1.5761624574661255,1.0221679732203484
subject3_file_111,1.8735389709472656,1.3296250253915787,1.1223745681345463
subject3_file_345,2.2151865363121033,0.49221470206975937,2.4737951159477234
subject3_file_74,2.120782196521759,1.530538760125637,2.545671731233597
subject3_file_507,3.067251980304718,1.6121584326028824,0.8654120080173016
subject3_file_775,1.6802761107683182,2.0310559421777725,2.927667737007141
subject3_file_817,2.674745559692383,1.0775235146284103,1.0794368796050549
subject3_file_462,2.185108780860901,1.5335883498191833,1.018222812563181
subject3_file_684,0.8143922388553619,1.97590172290802,1.7473900616168976
subject3_file_807,1.6220433413982391,1.8217569440603256,3.1277036666870117
subject3_file_540,2.8396419286727905,1.7067297548055649,1.1572130024433136
subject3_file_823,2.2494694143533707,1.3509433791041374,1.722771778702736
subject3_file_435,2.8421247601509094,1.2454238459467888,2.6401394456624985
subject3_file_5,2.7129560112953186,0.6914198249578476,1.0928210597485304
subject3_file_418,1.5315139815211296,1.4549990147352219,1.5464874356985092
subject3_file_439,2.1409048438072205,1.306598722934723,0.7740699648857117
subject3_file_261,2.073613464832306,0.7954305335879326,1.3499085754156113
subject3_file_727,3.3462491035461426,0.3096027094870806,3.0641267895698547
subject3_file_559,2.8791412711143494,0.8416581153869629,2.1486727595329285
subject3_file_411,2.307622566819191,2.5456507802009583,1.4332753717899323
subject3_file_9,2.476334273815155,0.41494768112897873,1.828961342573166
subject3_file_640,1.8326568007469177,1.5764021426439285,1.0437875986099243
subject3_file_43,2.362574517726898,1.4411945939064026,0.8731928057968616
subject3_file_491,2.1398138999938965,0.5183325409889221,2.359344780445099
subject3_file_818,1.8310222625732422,1.5141738802194595,1.4402824565768242
subject3_file_328,1.4009859412908554,1.3879231214523315,1.6112367510795593
subject3_file_251,0.772367812693119,1.1993245035409927,2.882394313812256
subject3_file_531,1.9122799560427666,0.45573119819164276,2.271853029727936
subject3_file_607,1.6235861331224442,1.810150220990181,1.0216060504317284
subject3_file_67,2.0298396348953247,1.5543977916240692,0.9663420356810093
subject3_file_197,1.232177197933197,0.9335196018218994,2.1569929122924805
subject3_file_11,2.278803214430809,2.0234140753746033,1.6798330247402191
subject3_file_88,2.87435320019722,1.632803238928318,1.3982379287481308
subject3_file_260,1.0351783782243729,2.890795409679413,2.8419607281684875
subject3_file_318,2.4831002950668335,1.0447896346449852,1.0083299577236176
subject3_file_388,2.304949402809143,1.3095397129654884,0.9917448461055756
subject3_file_355,2.409016251564026,0.8976167738437653,1.1129233837127686
subject3_file_391,1.1504346430301666,1.5084473639726639,1.9351787641644478
subject3_file_849,2.239835739135742,0.6209394633769989,1.8633634522557259
subject3_file_884,2.197727292776108,1.032769963145256,1.5300526171922684
subject3_file_364,1.3645143993198872,1.5081894993782043,1.7038249671459198
subject3_file_62,0.613582007586956,2.1257015466690063,2.2831684947013855
subject3_file_749,2.1805895566940308,0.8711232021450996,1.534385023638606
subject3_file_695,1.9795344173908234,1.0630584955215454,1.1700222920626402
subject3_file_10,1.4864199683070183,1.0619047433137894,1.8716829866170883
subject3_file_999,1.2989423722028732,1.4731459021568298,2.3539782762527466
subject3_file_511,2.298941284418106,0.46591532602906227,1.826530084013939
subject3_file_377,2.2075422406196594,0.9408715143799782,0.875275518745184
subject3_file_135,1.702827900648117,1.696264386177063,1.305661603808403
subject3_file_974,2.6188949942588806,0.5794208347797394,1.6376813240349293
subject3_file_853,2.178531587123871,0.41383226960897446,1.8713180795311928
subject3_file_571,1.0807872638106346,1.2868560925126076,1.6902911365032196
subject3_file_951,1.1095227003097534,2.569791615009308,0.6636457480490208
subject3_file_207,1.7669447660446167,1.8536878824234009,1.293680489063263
subject3_file_557,2.4742926955223083,0.7533835992217064,1.6550421193242073
subject3_file_977,2.5967519283294678,0.2336231479421258,1.9361596331000328
