Filename	Groundtruth	EPOCH99	EPOCH199	EPOCH299	EPOCH399	EPOCH499	EPOCH599	EPOCH699	EPOCH799	EPOCH899	EPOCH999
subject1_file_424	"[4, 9]"	"[0, 1, 3, 4, 9]"	"[0, 4, 9]"	"[0, 1, 3, 4, 9]"	"[3, 4, 9]"	"[0, 4, 9]"	"[4, 9]"	"[0, 3, 4, 9]"	"[4, 9]"	"[4, 9]"	"[4, 9]"
subject1_file_463	"[0, 9]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[4, 9]"	"[4, 9]"	"[4, 9]"	"[0, 4, 9]"	"[4, 9]"	"[4, 9]"	[9]
subject1_file_247	"[4, 9]"	"[0, 3, 4, 9]"	"[0, 3, 4, 9]"	"[0, 3]"	"[0, 1, 3, 4, 9]"	"[0, 1, 4, 9]"	"[4, 9]"	"[0, 1, 4, 9]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"
subject1_file_11	"[4, 9]"	"[0, 1, 3, 4, 9]"	"[0, 4, 9]"	"[0, 1, 3, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"
subject2_file_248	"[0, 1, 3, 4, 7]"	"[0, 1, 3, 4, 9]"	"[0, 1, 4, 9]"	"[0, 1, 4, 9]"	"[0, 3, 4, 9]"	"[0, 1, 4, 9]"	"[4, 9]"	"[0, 3, 4, 9]"	"[3, 4, 9]"	"[0, 1, 4]"	"[0, 1, 3, 4, 7]"
subject2_file_202	"[8, 9]"	"[0, 3, 4, 9]"	"[0, 3, 4, 9]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 1, 4, 9]"	"[4, 9]"	"[0, 1, 4, 9]"	"[0, 1, 3, 4, 9]"	"[0, 4]"	"[0, 1, 4, 9]"
subject1_file_786	[9]	"[0, 1, 3, 4, 9]"	"[0, 4, 9]"	"[0, 1, 4, 9]"	"[3, 4, 9]"	"[0, 4, 9]"	"[4, 9]"	"[0, 4, 9]"	"[4, 9]"	"[4, 9]"	"[4, 9]"
subject1_file_853	"[0, 6, 9]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 4, 9]"	"[0, 3, 9]"	"[0, 3, 9]"	"[0, 9]"	"[0, 4, 9]"	"[0, 9]"	"[0, 9]"	"[0, 6, 9]"
subject1_file_780	"[3, 6]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 3]"	"[0, 1, 3, 4, 9]"	"[0, 1, 4, 9]"	"[0, 4, 9]"	"[0, 1, 3, 4]"	"[0, 1, 3, 4, 9]"	"[0, 1, 3, 4]"	"[0, 1, 3]"
subject1_file_784	"[0, 9]"	"[0, 3, 4, 9]"	"[0, 4, 9]"	"[0, 3, 4, 9]"	[9]	[9]	"[3, 9]"	"[0, 3, 9]"	[9]	"[0, 9]"	"[0, 9]"
